1	2	1
3	4	1
5	6	1
1	7	1
8	9	1
10	11	1
12	13	1
14	15	1
16	17	1
18	19	1
20	21	1
1	22	1
23	24	1
25	26	1
10	27	1
1	28	1
29	30	1
31	32	1
33	34	1
1	35	1
36	37	1
38	39	1
40	41	1
42	43	1
44	45	1
46	47	1
44	48	1
49	50	1
1	51	1
40	52	1
53	54	1
55	56	1
57	58	1
59	60	1
40	61	1
44	62	1
31	63	1
10	64	1
10	65	1
66	67	1
25	68	1
31	69	1
70	71	1
49	72	1
40	39	1
3	73	1
49	74	1
75	76	1
77	78	1
40	79	1
10	80	1
81	82	1
83	84	1
49	85	1
86	87	1
33	88	1
44	89	1
90	91	1
31	92	1
49	93	1
1	94	1
95	96	1
97	98	1
90	99	1
31	100	1
40	101	1
12	102	1
33	103	1
104	105	1
10	106	1
75	107	1
10	108	1
12	109	1
33	110	1
83	111	1
25	113	1
83	114	1
18	115	1
116	117	1
38	118	1
116	119	1
53	120	1
121	122	1
46	123	1
124	125	1
75	126	1
127	128	1
23	129	1
10	130	1
131	58	1
97	132	1
81	133	1
134	135	1
10	136	1
137	138	1
49	139	1
81	140	1
141	142	1
31	7	1
143	144	1
91	145	1
59	146	1
147	148	1
44	149	1
10	150	1
53	77	1
75	151	1
112	152	1
153	154	1
83	155	1
156	157	1
33	158	1
159	160	1
44	161	1
143	162	1
141	163	1
164	165	1
16	166	1
156	167	1
33	168	1
10	169	1
170	171	1
116	172	1
173	174	1
175	176	1
23	177	1
178	179	1
180	181	1
182	183	1
184	185	1
49	186	1
187	188	1
175	189	1
59	190	1
137	191	1
55	192	1
1	193	1
194	195	1
196	197	1
40	198	1
1	199	1
23	200	1
173	201	1
3	202	1
1	203	1
116	204	1
180	205	1
40	206	1
104	207	1
10	208	1
25	144	1
175	209	1
44	210	1
29	211	1
173	212	1
213	214	1
29	215	1
40	216	1
33	217	1
218	219	1
75	220	1
180	221	1
49	222	1
1	223	1
164	224	1
180	225	1
1	226	1
90	227	1
25	228	1
44	229	1
173	230	1
99	231	1
104	232	1
29	233	1
143	234	1
137	235	1
137	236	1
59	237	1
97	238	1
83	239	1
53	240	1
187	241	1
1	242	1
49	243	1
23	244	1
164	245	1
246	247	1
248	249	1
20	250	1
184	251	1
