FFL_num	FFL_XYZ	ave	reg	XY	XZ	YZ
000100110: 676 156 40	YEL054C YDR207C YDL005C	99.2916666667	binding enriched|binding enriched|binding enriched	110.681	63.554	123.64
000100110: 676 137 156	YEL054C YIR018W YDR207C	99.3266666667	binding enriched|binding enriched|binding enriched	127.028	123.64	47.312
000100110: 676 86 1	YEL054C YLR223C YLR403W	95.6226666667	+|+|bound	27.878	132.85	126.14
000100110: 676 83 10	YEL054C YPL075W YIL101C	67.3706666667	binding enriched|binding enriched|+	67.302	38.19	96.62
000100110: 676 83 1	YEL054C YPL075W YLR403W	124.350666667	?|+|+	143.582	132.85	96.62
000100110: 676 81 40	YEL054C YJL127C YDL005C	64.1003333333	binding enriched|binding enriched|+	82.494	63.554	46.253
000100110: 676 44 137	YEL054C YDR259C YIR018W	102.521333333	binding enriched|binding enriched|binding enriched	133.553	47.312	126.699
000100110: 676 44 81	YEL054C YDR259C YJL127C	94.6763333333	?|+|binding enriched	111.077	46.253	126.699
000100110: 676 44 49	YEL054C YDR259C YNL216W	91.7893333333	binding enriched|+|binding enriched	75.83	72.839	126.699
000100110: 676 44 10	YEL054C YDR259C YIL101C	84.6006666667	binding enriched|binding enriched|binding enriched	88.913	38.19	126.699
000100110: 676 25 44	YEL054C YOL148C YDR259C	102.945666667	binding enriched|binding enriched|+	103.836	126.699	78.302
000100110: 676 23 173	YEL054C YOR110W YML007W	88.4226666667	binding enriched|binding enriched|binding enriched	100.486	68.468	96.314
000100110: 676 23 81	YEL054C YOR110W YJL127C	69.1383333333	?|+|binding enriched	64.848	46.253	96.314
000100110: 676 23 1	YEL054C YOR110W YLR403W	126.968333333	-|+|binding enriched	151.741	132.85	96.314
000100110: 676 10 156	YEL054C YIL101C YDR207C	82.4943333333	-|binding enriched|binding enriched	85.653	123.64	38.19
000100110: 676 10 1	YEL054C YIL101C YLR403W	96.0863333333	+|+|binding enriched	117.219	132.85	38.19
000100110: 677 661 33	YIR009W YDL106C YGR252W	102.887666667	binding enriched|binding enriched|binding enriched	95.33	116.609	96.724
000100110: 677 23 1	YIR009W YOR110W YLR403W	143.773333333	-|-|binding enriched	151.741	174.271	105.308
000100110: 678 175 10	YPR069C YGL073W YIL101C	65.745	binding enriched|binding enriched|+	31.343	68.665	97.227
000100110: 678 175 1	YPR069C YGL073W YLR403W	117.879666667	?|+|+	99.523	156.889	97.227
000100110: 678 83 10	YPR069C YPL075W YIL101C	54.101	binding enriched|binding enriched|+	67.302	68.665	26.336
000100110: 678 83 1	YPR069C YPL075W YLR403W	108.935666667	?|+|+	143.582	156.889	26.336
000100110: 678 10 1	YPR069C YIL101C YLR403W	114.257666667	+|+|binding enriched	117.219	156.889	68.665
000100110: 679 1151 173	YDR210W YML099C YML007W	76.9763333333	binding enriched|binding enriched|-	59.058	113.302	58.569
000100110: 679 1151 49	YDR210W YML099C YNL216W	69.0953333333	-|+|-	74.653	74.064	58.569
000100110: 679 1151 12	YDR210W YML099C YLR071C	82.7433333333	binding enriched|binding enriched|-	74.951	114.71	58.569
000100110: 679 180 83	YDR210W YCR084C YPL075W	70.547	+|+|binding enriched	47.301	69.711	94.629
000100110: 679 180 49	YDR210W YCR084C YNL216W	84.2566666667	+|+|binding enriched	84.077	74.064	94.629
000100110: 679 173 143	YDR210W YML007W YDR392W	94.2883333333	binding enriched|binding enriched|binding enriched	135.962	33.601	113.302
000100110: 679 173 83	YDR210W YML007W YPL075W	81.8873333333	-|+|binding enriched	62.649	69.711	113.302
000100110: 679 173 10	YDR210W YML007W YIL101C	86.714	binding enriched|binding enriched|binding enriched	63.256	83.584	113.302
000100110: 679 173 1	YDR210W YML007W YLR403W	138.291	?|-|binding enriched	173.848	127.723	113.302
000100110: 679 156 173	YDR210W YDR207C YML007W	76.7473333333	binding enriched|binding enriched|binding enriched	113.714	113.302	3.226
000100110: 679 156 20	YDR210W YDR207C YPR104C	37.8543333333	binding enriched|binding enriched|binding enriched	54.89	55.447	3.226
000100110: 679 143 49	YDR210W YDR392W YNL216W	59.5466666667	binding enriched|+|binding enriched	70.975	74.064	33.601
000100110: 679 143 10	YDR210W YDR392W YIL101C	70.1903333333	binding enriched|binding enriched|binding enriched	93.386	83.584	33.601
000100110: 679 137 156	YDR210W YIR018W YDR207C	85.4323333333	binding enriched|binding enriched|binding enriched	127.028	3.226	126.043
000100110: 679 137 143	YDR210W YIR018W YDR392W	100.908	binding enriched|binding enriched|binding enriched	143.08	33.601	126.043
000100110: 679 137 29	YDR210W YIR018W YDL170W	95.1416666667	binding enriched|binding enriched|binding enriched	116.38	43.002	126.043
000100110: 679 83 218	YDR210W YPL075W YDR463W	70.962	binding enriched|binding enriched|+	100.979	42.196	69.711
000100110: 679 83 182	YDR210W YPL075W YBR081C	64.33	binding enriched|binding enriched|+	47.725	75.554	69.711
000100110: 679 83 143	YDR210W YPL075W YDR392W	67.5033333333	binding enriched|binding enriched|+	99.198	33.601	69.711
000100110: 679 83 12	YDR210W YPL075W YLR071C	89.6006666667	binding enriched|binding enriched|+	84.381	114.71	69.711
000100110: 679 83 10	YDR210W YPL075W YIL101C	73.5323333333	binding enriched|binding enriched|+	67.302	83.584	69.711
000100110: 679 83 1	YDR210W YPL075W YLR403W	113.672	?|-|+	143.582	127.723	69.711
000100110: 679 29 12	YDR210W YDL170W YLR071C	92.3406666667	binding enriched|binding enriched|binding enriched	119.31	114.71	43.002
000100110: 679 29 1	YDR210W YDL170W YLR403W	108.099666667	?|-|binding enriched	153.574	127.723	43.002
000100110: 679 12 10	YDR210W YLR071C YIL101C	78.154	binding enriched|binding enriched|binding enriched	36.168	83.584	114.71
000100110: 679 10 218	YDR210W YIL101C YDR463W	70.1666666667	binding enriched|binding enriched|binding enriched	84.72	42.196	83.584
000100110: 679 10 156	YDR210W YIL101C YDR207C	57.4876666667	-|binding enriched|binding enriched	85.653	3.226	83.584
000100110: 679 10 1	YDR210W YIL101C YLR403W	109.508666667	+|-|binding enriched	117.219	127.723	83.584
000100110: 679 1 180	YDR210W YLR403W YCR084C	116.993333333	binding enriched|binding enriched|-	128.628	94.629	127.723
000100110: 682 277 173	YBL032W YIL036W YML007W	42.1173333333	binding enriched|binding enriched|+	51.32	46.142	28.89
000100110: 682 180 277	YBL032W YCR084C YIL036W	25.468	+|+|+	37.974	28.89	9.54
000100110: 682 180 83	YBL032W YCR084C YPL075W	37.708	+|+|+	47.301	56.283	9.54
000100110: 682 180 49	YBL032W YCR084C YNL216W	59.576	+|+|+	84.077	85.111	9.54
000100110: 682 175 218	YBL032W YGL073W YDR463W	87.0813333333	binding enriched|binding enriched|+	98.319	114.467	48.458
000100110: 682 175 1	YBL032W YGL073W YLR403W	92.9833333333	?|+|+	99.523	130.969	48.458
000100110: 682 173 175	YBL032W YML007W YGL073W	60.095	+|+|binding enriched	85.685	48.458	46.142
000100110: 682 173 116	YBL032W YML007W YNL236W	77.5126666667	+|+|binding enriched	96.398	89.998	46.142
000100110: 682 173 83	YBL032W YML007W YPL075W	55.0246666667	-|+|binding enriched	62.649	56.283	46.142
000100110: 682 173 40	YBL032W YML007W YDL005C	36.442	binding enriched|binding enriched|binding enriched	13.486	49.698	46.142
000100110: 682 173 1	YBL032W YML007W YLR403W	116.986333333	?|+|binding enriched	173.848	130.969	46.142
000100110: 682 97 173	YBL032W YOR174W YML007W	91.0333333333	binding enriched|binding enriched|binding enriched	118.245	46.142	108.713
000100110: 682 83 218	YBL032W YPL075W YDR463W	90.5763333333	binding enriched|binding enriched|+	100.979	114.467	56.283
000100110: 682 83 55	YBL032W YPL075W YER159C	79.873	binding enriched|binding enriched|+	101.218	82.118	56.283
000100110: 682 83 1	YBL032W YPL075W YLR403W	110.278	?|+|+	143.582	130.969	56.283
000100110: 682 55 1	YBL032W YER159C YLR403W	101.315	?|+|binding enriched	90.858	130.969	82.118
000100110: 682 49 97	YBL032W YNL216W YOR174W	75.916	binding enriched|binding enriched|+	33.924	108.713	85.111
000100110: 682 18 40	YBL032W YPL254W YDL005C	75.5286666667	binding enriched|binding enriched|binding enriched	102.533	49.698	74.355
000100110: 682 1 180	YBL032W YLR403W YCR084C	89.7123333333	binding enriched|+|+	128.628	9.54	130.969
000100110: 683 165 55	YIL121W YLR266C YER159C	80.9526666667	binding enriched|binding enriched|+	95.555	42.712	104.591
000100110: 683 83 55	YIL121W YPL075W YER159C	71.4486666667	binding enriched|binding enriched|+	101.218	42.712	70.416
000100110: 683 70 44	YIL121W YNL330C YDR259C	75.5413333333	binding enriched|binding enriched|binding enriched	63.684	89.142	73.798
000100110: 683 44 49	YIL121W YDR259C YNL216W	73.0303333333	binding enriched|+|binding enriched	75.83	54.119	89.142
000100110: 683 25 44	YIL121W YOL148C YDR259C	89.219	binding enriched|binding enriched|+	103.836	89.142	74.679
000100110: 684 982 75	YBR244W YFR034C YIL131C	86.674	binding enriched|binding enriched|+	80.734	57.569	121.719
000100110: 684 982 1	YBR244W YFR034C YLR403W	123.638333333	+|?|+	181.136	68.06	121.719
000100110: 684 458 97	YBR244W YHR206W YOR174W	81.7983333333	binding enriched|binding enriched|+	107.32	103.773	34.302
000100110: 684 282 173	YBR244W YOL004W YML007W	84.0593333333	binding enriched|+|+	27.267	109.87	115.041
000100110: 684 282 143	YBR244W YOL004W YDR392W	112.181	binding enriched|+|+	126.156	95.346	115.041
000100110: 684 277 173	YBR244W YIL036W YML007W	82.014	binding enriched|+|+	51.32	109.87	84.852
000100110: 684 277 29	YBR244W YIL036W YDL170W	106.259333333	binding enriched|binding enriched|+	119.428	114.498	84.852
000100110: 684 180 277	YBR244W YCR084C YIL036W	62.0606666667	+|+|+	37.974	84.852	63.356
000100110: 684 180 83	YBR244W YCR084C YPL075W	63.0413333333	+|+|+	47.301	78.467	63.356
000100110: 684 173 143	YBR244W YML007W YDR392W	113.726	binding enriched|+|+	135.962	95.346	109.87
000100110: 684 173 83	YBR244W YML007W YPL075W	83.662	-|+|+	62.649	78.467	109.87
000100110: 684 173 1	YBR244W YML007W YLR403W	117.259333333	?|?|+	173.848	68.06	109.87
000100110: 684 143 75	YBR244W YDR392W YIL131C	83.649	binding enriched|binding enriched|+	98.032	57.569	95.346
000100110: 684 97 173	YBR244W YOR174W YML007W	110.629333333	binding enriched|+|binding enriched	118.245	109.87	103.773
000100110: 684 97 29	YBR244W YOR174W YDL170W	85.239	binding enriched|binding enriched|binding enriched	37.446	114.498	103.773
000100110: 684 91 97	YBR244W YHL020C YOR174W	106.211666667	binding enriched|binding enriched|+	116.623	103.773	98.239
000100110: 684 83 218	YBR244W YPL075W YDR463W	89.9986666667	binding enriched|+|+	100.979	90.55	78.467
000100110: 684 83 143	YBR244W YPL075W YDR392W	91.0036666667	binding enriched|+|+	99.198	95.346	78.467
000100110: 684 83 1	YBR244W YPL075W YLR403W	96.703	?|?|+	143.582	68.06	78.467
000100110: 684 29 1	YBR244W YDL170W YLR403W	112.044	?|?|binding enriched	153.574	68.06	114.498
000100110: 684 1 180	YBR244W YLR403W YCR084C	86.6813333333	binding enriched|+|?	128.628	63.356	68.06
000100110: 685 767 83	YMR006C YKL058W YPL075W	60.3843333333	+|+|binding enriched	65.415	64.728	51.01
000100110: 685 767 49	YMR006C YKL058W YNL216W	61.2503333333	+|+|binding enriched	52.578	80.163	51.01
000100110: 685 767 1	YMR006C YKL058W YLR403W	125.820666667	?|+|binding enriched	162.303	164.149	51.01
000100110: 685 194 137	YMR006C YER111C YIR018W	60.998	?|binding enriched|+	83.778	21.606	77.61
000100110: 685 175 1	YMR006C YGL073W YLR403W	112.296333333	?|+|+	99.523	164.149	73.217
000100110: 685 83 1	YMR006C YPL075W YLR403W	124.153	?|+|+	143.582	164.149	64.728
000100110: 686 277 29	YOR215C YIL036W YDL170W	93.2486666667	binding enriched|binding enriched|-	119.428	44.271	116.047
000100110: 686 46 77	YOR215C YLR176C YMR037C	129.636	binding enriched|binding enriched|binding enriched	157.539	95.019	136.35
000100110: 687 116 29	YBR039W YNL236W YDL170W	90.9803333333	binding enriched|binding enriched|+	53.412	112.939	106.59
000100110: 687 83 10	YBR039W YPL075W YIL101C	54.7373333333	binding enriched|binding enriched|-	67.302	57.289	39.621
000100110: 688 175 218	YLR167W YGL073W YDR463W	99.4756666667	binding enriched|binding enriched|+	98.319	121.285	78.823
000100110: 688 175 10	YLR167W YGL073W YIL101C	70.7346666667	binding enriched|binding enriched|+	31.343	102.038	78.823
000100110: 688 175 1	YLR167W YGL073W YLR403W	71.1933333333	?|+|+	99.523	35.234	78.823
000100110: 688 86 218	YLR167W YLR223C YDR463W	88.334	binding enriched|binding enriched|bound	123.393	121.285	20.324
000100110: 688 86 1	YLR167W YLR223C YLR403W	27.812	+|+|bound	27.878	35.234	20.324
000100110: 688 83 218	YLR167W YPL075W YDR463W	118.435	binding enriched|binding enriched|+	100.979	121.285	133.041
000100110: 688 83 10	YLR167W YPL075W YIL101C	100.793666667	binding enriched|binding enriched|+	67.302	102.038	133.041
000100110: 688 83 1	YLR167W YPL075W YLR403W	103.952333333	?|+|+	143.582	35.234	133.041
000100110: 688 10 218	YLR167W YIL101C YDR463W	102.681	binding enriched|binding enriched|binding enriched	84.72	121.285	102.038
000100110: 688 10 1	YLR167W YIL101C YLR403W	84.8303333333	+|+|binding enriched	117.219	35.234	102.038
000100110: 689 173 40	YJR017C YML007W YDL005C	43.2123333333	binding enriched|binding enriched|binding enriched	13.486	51.415	64.736
000100110: 689 97 173	YJR017C YOR174W YML007W	91.809	binding enriched|binding enriched|binding enriched	118.245	64.736	92.446
000100110: 689 59 97	YJR017C YPR086W YOR174W	88.0953333333	binding enriched|binding enriched|binding enriched	80.566	92.446	91.274
000100110: 690 175 218	YIL140W YGL073W YDR463W	68.6256666667	binding enriched|binding enriched|+	98.319	89.589	17.969
000100110: 691 10 1	YOR243C YIL101C YLR403W	102.659666667	+|?|binding enriched	117.219	117.84	72.92
000100110: 692 1351 97	YLR327C YGL166W YOR174W	96.2883333333	binding enriched|binding enriched|-	65.457	133.39	90.018
000100110: 692 1351 75	YLR327C YGL166W YIL131C	76.351	binding enriched|binding enriched|-	32.567	106.468	90.018
000100110: 692 1351 55	YLR327C YGL166W YER159C	67.517	binding enriched|binding enriched|-	13.977	98.556	90.018
000100110: 692 1351 40	YLR327C YGL166W YDL005C	118.735666667	binding enriched|binding enriched|-	99.232	166.957	90.018
000100110: 692 1351 12	YLR327C YGL166W YLR071C	86.9726666667	binding enriched|binding enriched|-	57.115	113.785	90.018
000100110: 692 1351 1	YLR327C YGL166W YLR403W	67.7743333333	?|?|-	84.433	28.872	90.018
000100110: 692 1023 173	YLR327C YER109C YML007W	116.760666667	binding enriched|-|-	86.683	165.834	97.765
000100110: 692 1023 81	YLR327C YER109C YJL127C	95.3543333333	?|-|-	48.135	140.163	97.765
000100110: 692 1023 40	YLR327C YER109C YDL005C	115.536666667	binding enriched|binding enriched|-	81.888	166.957	97.765
000100110: 692 478 49	YLR327C YNL068C YNL216W	100.148	binding enriched|binding enriched|binding enriched	35.655	134.446	130.343
000100110: 692 277 173	YLR327C YIL036W YML007W	118.265333333	binding enriched|-|-	51.32	165.834	137.642
000100110: 692 277 59	YLR327C YIL036W YPR086W	119.305333333	binding enriched|binding enriched|-	86.461	133.813	137.642
000100110: 692 246 75	YLR327C YMR182C YIL131C	96.6283333333	binding enriched|binding enriched|-	79.271	106.468	104.146
000100110: 692 180 277	YLR327C YCR084C YIL036W	98.321	+|-|-	37.974	137.642	119.347
000100110: 692 180 83	YLR327C YCR084C YPL075W	98.2786666667	+|-|-	47.301	128.188	119.347
000100110: 692 180 49	YLR327C YCR084C YNL216W	112.623333333	+|binding enriched|-	84.077	134.446	119.347
000100110: 692 175 75	YLR327C YGL073W YIL131C	74.8353333333	binding enriched|binding enriched|+	15.988	106.468	102.05
000100110: 692 175 59	YLR327C YGL073W YPR086W	108.538666667	binding enriched|binding enriched|+	89.753	133.813	102.05
000100110: 692 175 1	YLR327C YGL073W YLR403W	76.815	?|?|+	99.523	28.872	102.05
000100110: 692 173 175	YLR327C YML007W YGL073W	117.856333333	+|+|-	85.685	102.05	165.834
000100110: 692 173 143	YLR327C YML007W YDR392W	138.503	binding enriched|binding enriched|-	135.962	113.713	165.834
000100110: 692 173 83	YLR327C YML007W YPL075W	118.890333333	-|-|-	62.649	128.188	165.834
000100110: 692 173 40	YLR327C YML007W YDL005C	115.425666667	binding enriched|binding enriched|-	13.486	166.957	165.834
000100110: 692 173 8	YLR327C YML007W YDR253C	130.917	bound|bound|-	114.914	112.003	165.834
000100110: 692 173 1	YLR327C YML007W YLR403W	122.851333333	?|?|-	173.848	28.872	165.834
000100110: 692 143 75	YLR327C YDR392W YIL131C	106.071	binding enriched|binding enriched|binding enriched	98.032	106.468	113.713
000100110: 692 143 49	YLR327C YDR392W YNL216W	106.378	binding enriched|binding enriched|binding enriched	70.975	134.446	113.713
000100110: 692 97 173	YLR327C YOR174W YML007W	139.156333333	binding enriched|-|binding enriched	118.245	165.834	133.39
000100110: 692 83 287	YLR327C YPL075W YGR104C	93.408	binding enriched|binding enriched|-	72.736	79.3	128.188
000100110: 692 83 182	YLR327C YPL075W YBR081C	89.8523333333	binding enriched|binding enriched|-	47.725	93.644	128.188
000100110: 692 83 143	YLR327C YPL075W YDR392W	113.699666667	binding enriched|binding enriched|-	99.198	113.713	128.188
000100110: 692 83 55	YLR327C YPL075W YER159C	109.320666667	binding enriched|binding enriched|-	101.218	98.556	128.188
000100110: 692 83 12	YLR327C YPL075W YLR071C	108.784666667	binding enriched|binding enriched|-	84.381	113.785	128.188
000100110: 692 83 1	YLR327C YPL075W YLR403W	100.214	?|?|-	143.582	28.872	128.188
000100110: 692 81 40	YLR327C YJL127C YDL005C	129.871333333	binding enriched|binding enriched|-	82.494	166.957	140.163
000100110: 692 59 97	YLR327C YPR086W YOR174W	115.923	binding enriched|binding enriched|binding enriched	80.566	133.39	133.813
000100110: 692 55 1	YLR327C YER159C YLR403W	72.762	?|?|binding enriched	90.858	28.872	98.556
000100110: 692 53 173	YLR327C YNL103W YML007W	133.714333333	binding enriched|-|?	104.128	165.834	131.181
000100110: 692 53 40	YLR327C YNL103W YDL005C	130.811333333	binding enriched|binding enriched|?	94.296	166.957	131.181
000100110: 692 53 3	YLR327C YNL103W YDR423C	106.206666667	-|-|?	80.971	106.468	131.181
000100110: 692 49 97	YLR327C YNL216W YOR174W	100.586666667	binding enriched|binding enriched|binding enriched	33.924	133.39	134.446
000100110: 692 38 97	YLR327C YBR112C YOR174W	109.093333333	binding enriched|binding enriched|binding enriched	108.762	133.39	85.128
000100110: 692 14 175	YLR327C YDR397C YGL073W	109.496	+|+|binding enriched	111.594	102.05	114.844
000100110: 692 14 75	YLR327C YDR397C YIL131C	107.467666667	binding enriched|binding enriched|binding enriched	101.091	106.468	114.844
000100110: 692 3 1	YLR327C YDR423C YLR403W	81.6556666667	?|?|-	109.627	28.872	106.468
000100110: 692 1 180	YLR327C YLR403W YCR084C	92.2823333333	binding enriched|-|?	128.628	119.347	28.872
000100110: 693 180 277	YGR090W YCR084C YIL036W	45.159	+|+|+	37.974	50.499	47.004
000100110: 693 180 49	YGR090W YCR084C YNL216W	69.163	+|-|+	84.077	76.408	47.004
000100110: 693 175 218	YGR090W YGL073W YDR463W	70.917	binding enriched|binding enriched|+	98.319	97.239	17.193
000100110: 693 175 1	YGR090W YGL073W YLR403W	68.8126666667	?|?|+	99.523	89.722	17.193
000100110: 693 3 1	YGR090W YDR423C YLR403W	98.5353333333	?|?|+	109.627	89.722	96.257
000100110: 693 1 180	YGR090W YLR403W YCR084C	88.4513333333	binding enriched|+|?	128.628	47.004	89.722
000100110: 694 277 59	YJR008W YIL036W YPR086W	78.1423333333	binding enriched|binding enriched|-	86.461	86.502	61.464
000100110: 694 277 29	YJR008W YIL036W YDL170W	92.3606666667	binding enriched|binding enriched|-	119.428	96.19	61.464
000100110: 695 517 1	YLR466W YLR418C YLR403W	11.5546666667	?|?|+	11.635	8.549	14.48
000100110: 695 180 277	YLR466W YCR084C YIL036W	102.482	+|+|+	37.974	141.122	128.35
000100110: 695 180 83	YLR466W YCR084C YPL075W	105.532333333	+|-|+	47.301	140.946	128.35
000100110: 695 83 1	YLR466W YPL075W YLR403W	97.6923333333	?|?|-	143.582	8.549	140.946
000100110: 695 1 180	YLR466W YLR403W YCR084C	88.509	binding enriched|+|?	128.628	128.35	8.549
000100110: 698 387 59	YBR085C-A YGR116W YPR086W	55.5776666667	binding enriched|binding enriched|binding enriched	81.974	50.285	34.474
000100110: 698 387 55	YBR085C-A YGR116W YER159C	54.6746666667	binding enriched|binding enriched|binding enriched	58.751	70.799	34.474
000100110: 698 173 143	YBR085C-A YML007W YDR392W	99.7976666667	binding enriched|binding enriched|binding enriched	135.962	93.702	69.729
000100110: 698 173 40	YBR085C-A YML007W YDL005C	51.806	binding enriched|binding enriched|binding enriched	13.486	72.203	69.729
000100110: 698 66 40	YBR085C-A YPR052C YDL005C	59.656	binding enriched|binding enriched|binding enriched	55.917	72.203	50.848
000100110: 698 14 134	YBR085C-A YDR397C YHR058C	80.6463333333	binding enriched|binding enriched|binding enriched	115.213	28.428	98.298
000100110: 699 218 8	YMR070W YDR463W YDR253C	57.2183333333	bound|bound|binding enriched	34.316	56.887	80.452
000100110: 699 55 1	YMR070W YER159C YLR403W	114.244	?|+|binding enriched	90.858	158.528	93.346
000100110: 699 36 55	YMR070W YKL032C YER159C	80.541	binding enriched|binding enriched|-	104.981	93.346	43.296
000100110: 699 8 36	YMR070W YDR253C YKL032C	65.3216666667	-|-|bound	95.782	43.296	56.887
000100110: 700 143 75	YEL011W YDR392W YIL131C	101.281333333	binding enriched|binding enriched|binding enriched	98.032	62.622	143.19
000100110: 700 143 10	YEL011W YDR392W YIL101C	97.5446666667	binding enriched|binding enriched|binding enriched	93.386	56.058	143.19
000100110: 700 46 77	YEL011W YLR176C YMR037C	130.489	binding enriched|binding enriched|binding enriched	157.539	81.471	152.457
000100110: 700 44 10	YEL011W YDR259C YIL101C	93.7026666667	binding enriched|binding enriched|binding enriched	88.913	56.058	136.137
000100110: 700 10 77	YEL011W YIL101C YMR037C	67.584	binding enriched|binding enriched|binding enriched	65.223	81.471	56.058
000100110: 700 10 75	YEL011W YIL101C YIL131C	44.816	binding enriched|binding enriched|binding enriched	15.768	62.622	56.058
000100110: 700 10 59	YEL011W YIL101C YPR086W	69.756	binding enriched|binding enriched|binding enriched	61.746	91.464	56.058
000100110: 700 10 33	YEL011W YIL101C YGR252W	73.9213333333	binding enriched|binding enriched|binding enriched	55.78	109.926	56.058
000100110: 703 371 44	YOR124C YGL013C YDR259C	95.934	binding enriched|binding enriched|-	120.677	66.539	100.586
000100110: 703 44 49	YOR124C YDR259C YNL216W	60.2736666667	binding enriched|binding enriched|binding enriched	75.83	38.452	66.539
000100110: 704 425 10	YDR011W YKL112W YIL101C	54.455	binding enriched|binding enriched|-	61.651	45.864	55.85
000100110: 704 218 8	YDR011W YDR463W YDR253C	78.152	bound|bound|binding enriched	34.316	92.037	108.103
000100110: 704 44 53	YDR011W YDR259C YNL103W	93.242	?|?|binding enriched	95.715	84.88	99.131
000100110: 704 44 10	YDR011W YDR259C YIL101C	77.9693333333	binding enriched|binding enriched|binding enriched	88.913	45.864	99.131
000100110: 704 10 218	YDR011W YIL101C YDR463W	79.5623333333	binding enriched|binding enriched|binding enriched	84.72	108.103	45.864
000100110: 704 10 1	YDR011W YIL101C YLR403W	107.043666667	+|-|binding enriched	117.219	158.048	45.864
000100110: 707 1351 40	YMR250W YGL166W YDL005C	93.1453333333	binding enriched|binding enriched|-	99.232	109.888	70.316
000100110: 707 1351 33	YMR250W YGL166W YGR252W	50.7523333333	binding enriched|binding enriched|-	26.17	55.771	70.316
000100110: 707 1195 59	YMR250W YOR229W YPR086W	84.0283333333	binding enriched|binding enriched|-	99.93	56.725	95.43
000100110: 707 1195 23	YMR250W YOR229W YOR110W	76.325	binding enriched|binding enriched|-	40.873	92.672	95.43
000100110: 707 1023 81	YMR250W YER109C YJL127C	73.8373333333	?|-|-	48.135	108.983	64.394
000100110: 707 1023 40	YMR250W YER109C YDL005C	85.39	binding enriched|binding enriched|-	81.888	109.888	64.394
000100110: 707 387 218	YMR250W YGR116W YDR463W	72.8866666667	binding enriched|+|binding enriched	94.763	60.367	63.53
000100110: 707 387 59	YMR250W YGR116W YPR086W	67.4096666667	binding enriched|binding enriched|binding enriched	81.974	56.725	63.53
000100110: 707 303 81	YMR250W YCR081W YJL127C	89.2783333333	?|-|-	82.523	108.983	76.329
000100110: 707 131 194	YMR250W YDR443C YER111C	60.8906666667	binding enriched|-|-	67.66	67.75	47.262
000100110: 707 81 40	YMR250W YJL127C YDL005C	100.455	binding enriched|binding enriched|-	82.494	109.888	108.983
000100110: 707 23 81	YMR250W YOR110W YJL127C	88.8343333333	?|-|binding enriched	64.848	108.983	92.672
000100110: 709 173 40	YOL166W-A YML007W YDL005C	63.3793333333	binding enriched|binding enriched|binding enriched	13.486	82.515	94.137
000100110: 709 173 10	YOL166W-A YML007W YIL101C	71.06	binding enriched|binding enriched|binding enriched	63.256	55.787	94.137
000100110: 709 97 173	YOL166W-A YOR174W YML007W	90.8	binding enriched|binding enriched|binding enriched	118.245	94.137	60.018
000100110: 709 97 170	YOL166W-A YOR174W YPR133C	83.5806666667	binding enriched|binding enriched|binding enriched	85.877	104.847	60.018
000100110: 711 156 97	YBL015W YDR207C YOR174W	88.5553333333	binding enriched|binding enriched|binding enriched	58.534	103.107	104.025
000100110: 711 156 75	YBL015W YDR207C YIL131C	82.96	binding enriched|binding enriched|binding enriched	94.409	50.446	104.025
000100110: 711 156 40	YBL015W YDR207C YDL005C	79.537	binding enriched|binding enriched|binding enriched	110.681	23.905	104.025
000100110: 711 143 75	YBL015W YDR392W YIL131C	90.0213333333	binding enriched|binding enriched|binding enriched	98.032	50.446	121.586
000100110: 711 143 10	YBL015W YDR392W YIL101C	84.7843333333	binding enriched|binding enriched|binding enriched	93.386	39.381	121.586
000100110: 711 59 97	YBL015W YPR086W YOR174W	81.605	binding enriched|binding enriched|binding enriched	80.566	103.107	61.142
000100110: 711 44 10	YBL015W YDR259C YIL101C	79.6533333333	binding enriched|binding enriched|binding enriched	88.913	39.381	110.666
000100110: 711 10 156	YBL015W YIL101C YDR207C	76.353	-|binding enriched|binding enriched	85.653	104.025	39.381
000100110: 711 10 75	YBL015W YIL101C YIL131C	35.1983333333	binding enriched|binding enriched|binding enriched	15.768	50.446	39.381
000100110: 711 10 59	YBL015W YIL101C YPR086W	54.0896666667	binding enriched|binding enriched|binding enriched	61.746	61.142	39.381
000100110: 711 10 33	YBL015W YIL101C YGR252W	62.4143333333	binding enriched|binding enriched|binding enriched	55.78	92.082	39.381
000100110: 712 156 40	YOR186W YDR207C YDL005C	92.5313333333	binding enriched|binding enriched|binding enriched	110.681	105.875	61.038
000100110: 712 55 1	YOR186W YER159C YLR403W	94.5086666667	?|-|binding enriched	90.858	135.279	57.389
000100110: 712 10 218	YOR186W YIL101C YDR463W	66.0546666667	binding enriched|binding enriched|binding enriched	84.72	39.47	73.974
000100110: 712 10 156	YOR186W YIL101C YDR207C	73.555	-|binding enriched|binding enriched	85.653	61.038	73.974
000100110: 712 10 59	YOR186W YIL101C YPR086W	71.8043333333	binding enriched|binding enriched|binding enriched	61.746	79.693	73.974
000100110: 712 10 33	YOR186W YIL101C YGR252W	70.2146666667	binding enriched|binding enriched|binding enriched	55.78	80.89	73.974
000100110: 712 10 1	YOR186W YIL101C YLR403W	108.824	+|-|binding enriched	117.219	135.279	73.974
000100110: 713 83 218	YER044C YPL075W YDR463W	97.0053333333	binding enriched|binding enriched|+	100.979	97.446	92.591
