FFL_num	FFL_XYZ	ave	reg	XY	XZ	YZ
000100110: 9 3839 1	YLR438W YPR199C YLR403W	105.781666667	-|+|+	153.742	20.675	142.928
000100110: 9 1151 97	YLR438W YML099C YOR174W	113.084333333	binding enriched|binding enriched|+	83.894	127.78	127.579
000100110: 9 1151 49	YLR438W YML099C YNL216W	111.018	-|+|+	74.653	130.822	127.579
000100110: 9 1151 40	YLR438W YML099C YDL005C	119.404	binding enriched|binding enriched|+	60.151	170.482	127.579
000100110: 9 905 661	YLR438W YBL103C YDL106C	121.745333333	binding enriched|binding enriched|-	111.699	147.806	105.731
000100110: 9 661 97	YLR438W YDL106C YOR174W	109.825333333	binding enriched|binding enriched|binding enriched	53.89	127.78	147.806
000100110: 9 661 55	YLR438W YDL106C YER159C	108.929666667	binding enriched|binding enriched|binding enriched	84.715	94.268	147.806
000100110: 9 661 10	YLR438W YDL106C YIL101C	111.6	binding enriched|binding enriched|binding enriched	70.144	116.85	147.806
000100110: 9 387 59	YLR438W YGR116W YPR086W	99.6516666667	binding enriched|binding enriched|binding enriched	81.974	136.46	80.521
000100110: 9 387 55	YLR438W YGR116W YER159C	77.8466666667	binding enriched|binding enriched|binding enriched	58.751	94.268	80.521
000100110: 9 334 10	YLR438W YMR042W YIL101C	110.999666667	binding enriched|binding enriched|+	65.067	116.85	151.082
000100110: 9 213 1	YLR438W YGL071W YLR403W	75.279	?|+|+	100.553	20.675	104.609
000100110: 9 156 97	YLR438W YDR207C YOR174W	101.945666667	binding enriched|binding enriched|-	58.534	127.78	119.523
000100110: 9 156 40	YLR438W YDR207C YDL005C	133.562	binding enriched|binding enriched|-	110.681	170.482	119.523
000100110: 9 156 20	YLR438W YDR207C YPR104C	104.651666667	binding enriched|binding enriched|-	54.89	139.542	119.523
000100110: 9 141 25	YLR438W YBR083W YOL148C	118.352	+|+|+	99.129	154.867	101.06
000100110: 9 90 40	YLR438W YER040W YDL005C	120.75	binding enriched|binding enriched|-	57.821	170.482	133.947
000100110: 9 90 10	YLR438W YER040W YIL101C	91.6643333333	binding enriched|binding enriched|-	24.196	116.85	133.947
000100110: 9 90 1	YLR438W YER040W YLR403W	95.3236666667	?|+|-	131.349	20.675	133.947
000100110: 9 83 55	YLR438W YPL075W YER159C	109.662	binding enriched|binding enriched|+	101.218	94.268	133.5
000100110: 9 83 10	YLR438W YPL075W YIL101C	105.884	binding enriched|binding enriched|+	67.302	116.85	133.5
000100110: 9 83 1	YLR438W YPL075W YLR403W	99.2523333333	?|+|+	143.582	20.675	133.5
000100110: 9 81 40	YLR438W YJL127C YDL005C	130.206666667	binding enriched|binding enriched|?	82.494	170.482	137.644
000100110: 9 59 97	YLR438W YPR086W YOR174W	114.935333333	binding enriched|binding enriched|binding enriched	80.566	127.78	136.46
000100110: 9 55 1	YLR438W YER159C YLR403W	68.6003333333	?|+|binding enriched	90.858	20.675	94.268
000100110: 9 49 97	YLR438W YNL216W YOR174W	97.5086666667	binding enriched|binding enriched|+	33.924	127.78	130.822
000100110: 9 49 90	YLR438W YNL216W YER040W	104.145333333	binding enriched|-|+	47.667	133.947	130.822
000100110: 9 10 156	YLR438W YIL101C YDR207C	107.342	-|-|binding enriched	85.653	119.523	116.85
000100110: 9 10 59	YLR438W YIL101C YPR086W	105.018666667	binding enriched|binding enriched|binding enriched	61.746	136.46	116.85
000100110: 9 10 1	YLR438W YIL101C YLR403W	84.9146666667	+|+|binding enriched	117.219	20.675	116.85
000100110: 9 1 141	YLR438W YLR403W YBR083W	76.1563333333	+|+|+	106.734	101.06	20.675
000100110: 9 1 127	YLR438W YLR403W YHR084W	89.766	+|+|+	128.457	120.166	20.675
000100110: 10 287 33	YIL101C YGR104C YGR252W	47.9186666667	binding enriched|binding enriched|binding enriched	42.159	55.78	45.817
000100110: 10 156 75	YIL101C YDR207C YIL131C	65.2766666667	binding enriched|binding enriched|-	94.409	15.768	85.653
000100110: 11 533 425	YGR055W YOR230W YKL112W	98.6276666667	+|+|binding enriched	65.293	107.519	123.071
000100110: 11 533 97	YGR055W YOR230W YOR174W	86.708	binding enriched|binding enriched|binding enriched	20.521	116.532	123.071
000100110: 11 533 53	YGR055W YOR230W YNL103W	85.858	?|?|binding enriched	48.937	85.566	123.071
000100110: 11 533 38	YGR055W YOR230W YBR112C	100.883666667	binding enriched|binding enriched|binding enriched	122.031	57.549	123.071
000100110: 11 533 8	YGR055W YOR230W YDR253C	102.202	bound|bound|binding enriched	69.281	114.254	123.071
000100110: 11 425 97	YGR055W YKL112W YOR174W	90.601	binding enriched|binding enriched|+	47.752	116.532	107.519
000100110: 11 425 10	YGR055W YKL112W YIL101C	71.9163333333	binding enriched|binding enriched|+	61.651	46.579	107.519
000100110: 11 355 10	YGR055W YJL056C YIL101C	64.5746666667	binding enriched|binding enriched|?	54.892	46.579	92.253
000100110: 11 282 173	YGR055W YOL004W YML007W	65.559	binding enriched|binding enriched|binding enriched	27.267	81.934	87.476
000100110: 11 282 143	YGR055W YOL004W YDR392W	113.718333333	binding enriched|binding enriched|binding enriched	126.156	127.523	87.476
000100110: 11 218 8	YGR055W YDR463W YDR253C	89.1973333333	bound|bound|binding enriched	34.316	114.254	119.022
000100110: 11 175 218	YGR055W YGL073W YDR463W	81.8636666667	binding enriched|binding enriched|+	98.319	119.022	28.25
000100110: 11 175 23	YGR055W YGL073W YOR110W	79.5816666667	binding enriched|binding enriched|+	94.158	116.337	28.25
000100110: 11 175 10	YGR055W YGL073W YIL101C	35.3906666667	binding enriched|binding enriched|+	31.343	46.579	28.25
000100110: 11 173 425	YGR055W YML007W YKL112W	89.3683333333	-|+|binding enriched	78.652	107.519	81.934
000100110: 11 173 175	YGR055W YML007W YGL073W	65.2896666667	+|+|binding enriched	85.685	28.25	81.934
000100110: 11 173 143	YGR055W YML007W YDR392W	115.139666667	binding enriched|binding enriched|binding enriched	135.962	127.523	81.934
000100110: 11 173 116	YGR055W YML007W YNL236W	92.1643333333	+|+|binding enriched	96.398	98.161	81.934
000100110: 11 173 10	YGR055W YML007W YIL101C	63.923	binding enriched|binding enriched|binding enriched	63.256	46.579	81.934
000100110: 11 173 8	YGR055W YML007W YDR253C	103.700666667	bound|bound|binding enriched	114.914	114.254	81.934
000100110: 11 156 173	YGR055W YDR207C YML007W	105.416333333	binding enriched|binding enriched|binding enriched	113.714	81.934	120.601
000100110: 11 156 97	YGR055W YDR207C YOR174W	98.5556666667	binding enriched|binding enriched|binding enriched	58.534	116.532	120.601
