SIM	is_self	reg	dist_ave	dist_sd
YPL075W	T	+|-|+|+|+|+|-|-|+|+|+|	85.15299999999999	20.3721340414
YOR174W	F	binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|	82.80013043478262	33.0907528422
YEL009C	T	?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|?|	85.97955882352942	35.2152739367
YDR259C	F	binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|	82.38028846153846	33.4067649309
YHR041C	F	-|-|	76.37299999999999	49.268372086
YGR116W	F	binding enriched|binding enriched|	73.5035	15.5924116319
YGL013C	F	-|-|	101.685	8.93358707351
YDR392W	F	binding enriched|binding enriched|binding enriched|binding enriched|	86.24225000000001	33.0122790123
YMR037C	F	binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|	83.93208333333332	47.67376981
YCR084C	F	-|-|binding enriched|	53.308666666666674	43.7845540611
YKL015W	F	binding enriched|binding enriched|binding enriched|	64.2	21.0728059593
YLR098C	F	binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|	69.968875	21.6945479421
YGR252W	F	binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|	74.279	21.2087045001
YOR110W	F	binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|	77.54208695652174	32.2776958612
YLR176C	F	binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|	115.42429032258063	43.2119117684
YNL216W	F	binding enriched|-|binding enriched|binding enriched|binding enriched|binding enriched|-|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|+|binding enriched|+|binding enriched|binding enriched|binding enriched|	78.02343589743589	22.5825038013
YJL056C	T	+|+|	89.1055	35.2471517218
YDR253C	T	bound|bound|bound|bound|	79.62225	33.1537961766
YBR049C	F	binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|+|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|binding enriched|	74.59364285714285	23.0596825766
YPL254W	F	+|binding enriched|binding enriched|	82.24066666666666	16.7486183709
