id1	id2	reg	distance
YGL071W	YGL055W	-	12.574
YDL170W	YBR221W-A	binding enriched	98.387
YDL005C	YIL145C	binding enriched	76.446
YGR252W	YAL025C	binding enriched	112.001
YDR463W	YLR162W	-	118.291
YIL131C	YLR247C	binding enriched	100.377
YCR084C	YDR385W	+	111.000
YNL216W	YMR186W	+	94.173
YLR403W	YMR077C	-	150.466
YOR028C	YDL175C	+	63.458
YCR084C	YJR147W	+	79.896
YLR403W	YDR064W	+	159.523
YER040W	YKL170W	binding enriched	67.598
YOL148C	YDL136W	+	71.727
YDR259C	YPL098C	binding enriched	67.759
YML007W	YBR188C	binding enriched	103.581
YOR032C	YOR160W	+	70.284
YKR099W	YCL030C	+	68.175
YDL170W	YIL052C	binding enriched	118.154
YDR392W	YDR173C	binding enriched	53.887
YIR018W	YPL192C	?	101.754
YIR018W	YHR136C	-	86.667
YPR086W	YMR084W	binding enriched	10.439
YOR174W	YGL010W	binding enriched	110.603
YPL075W	YDL126C	+	73.175
YNL103W	YOR085W	?	50.641
YBR240C	YJR004C	-	118.668
YLR403W	YLR312W-A	?	18.755
YNL216W	YER156C	+	39.920
YOR110W	YEL073C	binding enriched	104.018
YOR028C	YKL177W	+	46.791
YMR182C	YLR178C	-	119.851
YJR127C	YOR010C	binding enriched	55.530
YPR104C	YDL075W	binding enriched	30.123
YOR344C	YDR365W-B	+	76.738
YDR146C	YIL116W	binding enriched	78.736
YOR110W	YDL063C	binding enriched	59.019
YNL216W	YML128C	-	51.896
YBR083W	YLR042C	+	67.547
YNL216W	YPR044C	+	76.707
YPR086W	YMR175W	binding enriched	38.223
YIL101C	YOR130C	binding enriched	78.751
YPR086W	YNL008C	binding enriched	87.660
YIL131C	YBR074W	binding enriched	44.134
YBR112C	YJL077C	binding enriched	109.350
YDR463W	YNL193W	binding enriched	58.065
YDR259C	YPL085W	binding enriched	72.958
YNL236W	YDR210W-A	+	75.755
YNL216W	YHL015W	+	97.297
YPR086W	YKL162C	binding enriched	61.512
YDL005C	YGL221C	binding enriched	110.059
YPR086W	YDL238C	binding enriched	56.731
YLR403W	YPR112C	?	146.841
YPL075W	YKL192C	+	75.253
YLR403W	YEL040W	-	144.875
YPL075W	YJR117W	+	82.785
YLR176C	YML028W	binding enriched	151.579
YOR110W	YOR108W	binding enriched	2.049
YJL127C	YCR098C	?	107.740
YIL036W	YDR098C-A	+	107.660
YOR174W	YHR007C-A	binding enriched	111.646
YDL005C	YNL097C	binding enriched	100.208
YIL036W	YPL145C	+	84.840
YOL004W	YEL065W	-	58.450
YDR423C	YGL011C	-	123.377
YOR174W	YGR267C	binding enriched	88.155
YCR084C	YGL245W	+	79.339
YGR104C	YGR279C	binding enriched	38.504
YDR463W	YLR095C	binding enriched	90.306
YOR110W	YLL056C	binding enriched	78.505
YGL073W	YOR277C	+	85.633
YDL005C	YOL039W	binding enriched	48.325
YDL020C	YFL014W	-	21.337
YIL101C	YMR161W	binding enriched	72.408
YDL005C	YDR034C	binding enriched	47.549
YNL236W	YLL010C	+	84.579
YIL131C	YPR183W	binding enriched	84.190
YNL330C	YNL298W	binding enriched	23.492
YNL216W	YLR249W	+	131.887
YBR049C	YGL040C	binding enriched	68.073
YOR174W	YLR017W	binding enriched	98.690
YCR081W	YNL055C	-	75.413
YMR037C	YJL158C	binding enriched	105.402
YGR252W	YBR273C	binding enriched	30.915
YDR392W	YBL074C	binding enriched	101.164
YDL005C	YJL216C	binding enriched	91.034
YLR176C	YML116W	binding enriched	120.436
YIL101C	YHR197W	binding enriched	45.813
YDL005C	YLR120C	binding enriched	86.137
YDR123C	YPL041C	binding enriched	69.339
YDR253C	YLR281C	bound	125.562
YDR463W	YLR318W	binding enriched	112.831
YJL127C	YLR339C	+	140.288
YOR174W	YKR088C	binding enriched	84.514
YPR104C	YAL039C	binding enriched	84.716
YPL075W	YBR143C	+	56.495
YDR253C	YNL014W	bound	128.492
YER040W	YBR274W	binding enriched	90.185
YDR207C	YML101C	binding enriched	57.982
YOL148C	YMR046W-A	+	97.380
YPL254W	YLR441C	+	89.127
YOR174W	YNL255C	binding enriched	26.522
YDR463W	YMR255W	binding enriched	60.741
YHR058C	YOL005C	binding enriched	72.849
YDR123C	YER021W	binding enriched	105.858
YNL103W	YDR040C	?	102.969
YGR252W	YPR054W	binding enriched	93.309
YNL216W	YEL073C	binding enriched	79.765
YOR344C	YMR046C	+	118.594
YDL005C	YNR015W	binding enriched	36.975
YCR084C	YML058W-A	-	51.201
YGL073W	YHR216W	+	76.533
YMR042W	YCL040W	-	75.145
YDL005C	YHL029C	binding enriched	36.926
YDR392W	YPL232W	binding enriched	70.189
YIL101C	YJL050W	binding enriched	48.468
YIL131C	YKL146W	binding enriched	81.202
YNL199C	YDL021W	-	59.853
YGR252W	YCR102C	binding enriched	89.077
YDR392W	YDR510W	binding enriched	13.890
YIL131C	YLR285C-A	binding enriched	107.110
YCR084C	YHR214C-B	+	50.413
YLR176C	YDR464W	binding enriched	122.999
YLR403W	YDL070W	-	154.657
YLR098C	YFR015C	-	71.024
YIL131C	YCR071C	binding enriched	50.872
YBR083W	YGR161W-A	+	45.460
YER111C	YDR046C	binding enriched	89.975
YEL009C	YAR064W	?	40.297
YLR403W	YKL178C	?	160.691
YGR252W	YDR037W	binding enriched	94.083
YIL101C	YOR195W	binding enriched	70.439
YJL056C	YGL258W	+	73.072
YIL101C	YKL222C	binding enriched	80.781
YNL103W	YNL191W	?	35.288
YNL330C	YGR279C	binding enriched	65.780
YOR110W	YKL106W	binding enriched	32.928
YBR112C	YDR517W	binding enriched	99.008
YGL073W	YIL053W	+	28.407
YOL148C	YHR137W	+	122.367
YML007W	YDL215C	binding enriched	95.032
YNL236W	YDR238C	+	78.008
YJL127C	YBL082C	?	81.304
YBR081C	YPL026C	binding enriched	73.913
YLR403W	YNL247W	?	129.069
YJL127C	YGL135W	+	44.654
YNL236W	YDR331W	+	74.705
YML007W	YOR223W	binding enriched	129.594
YGL013C	YPR158C-C	-	93.297
YLR071C	YPL223C	binding enriched	87.992
YGR104C	YER104W	binding enriched	46.705
YML007W	YNL084C	-	100.606
YNL216W	YOR096W	+	27.260
YLR176C	YJL177W	binding enriched	134.444
YDR207C	YLR156C-A	binding enriched	119.666
YNL216W	YCR087C-A	+	85.383
YLR403W	YBR271W	?	61.260
YLR451W	YMR315W-A	binding enriched	87.378
YLR176C	YNL095C	binding enriched	114.999
YPR104C	YNL036W	binding enriched	102.643
YPL075W	YKL191W	+	74.923
YNL236W	YPL049C	+	106.551
YPL075W	YMR243C	+	56.892
YLR403W	YLR270W	?	18.272
YGR116W	YHR138C	binding enriched	49.545
YGL035C	RDN25-1	-	75.829
YIL131C	YDL173W	binding enriched	88.684
YBR112C	YIL045W	binding enriched	69.180
YBR049C	YLR229C	binding enriched	114.403
YPL075W	YLR172C	+	134.482
YJL127C	YOR378W	?	62.462
YLR071C	YDR380W	binding enriched	119.340
YGR252W	YDR490C	binding enriched	59.434
YLR176C	YHR190W	binding enriched	88.062
YJL127C	YOL143C	+	35.666
YLR403W	YDR351W	?	114.935
YDL170W	YDL019C	binding enriched	87.658
YPL139C	YML107C	-	20.231
YIR018W	YJL218W	?	90.455
YGR252W	YJL166W	binding enriched	74.510
YER040W	YLR185W	-	121.655
YDR392W	YKL086W	binding enriched	83.771
YLR403W	YCR087C-A	+	129.153
YGL013C	YPR190C	-	96.064
YIL036W	YIL078W	+	34.226
YIL131C	YNL074C	binding enriched	37.619
YGR252W	YKL150W	binding enriched	97.974
YHL020C	YOR034C	+	63.306
YIR018W	YBR076W	?	81.748
YGR252W	YDR158W	binding enriched	92.240
YBR049C	YMR202W	+	62.605
YDR392W	YHL007C	binding enriched	145.157
YLR403W	YMR049C	+	158.153
YGR252W	YDR178W	binding enriched	94.201
YGR252W	YEL065W	binding enriched	68.690
YOR028C	YOR210W	-	74.033
YMR037C	YNL231C	binding enriched	78.212
YEL009C	YOR062C	?	78.765
YER159C	YGL062W	binding enriched	49.264
YDR392W	YHR071W	+	97.799
YGR116W	YLL039C	binding enriched	64.351
YIL131C	YBR259W	binding enriched	54.204
YBR049C	YDL072C	binding enriched	74.360
YKL112W	YML040W	+	65.307
YNL236W	YBR066C	-	87.686
YFL031W	YLR214W	+	156.299
YDR463W	YDL176W	binding enriched	41.954
YMR037C	YMR316W	+	72.872
YNL236W	YDR261C-C	+	85.739
YIL131C	YAL026C	binding enriched	69.950
YIL101C	YOR145C	binding enriched	79.954
YJL127C	YBR191W	+	102.245
YDR463W	YDL023C	+	106.571
YPR086W	YGR008C	binding enriched	78.035
YPR086W	YBL101C	binding enriched	88.122
YDR392W	YDR249C	binding enriched	28.801
YLR071C	YNL178W	binding enriched	74.372
YBR049C	YJL076W	binding enriched	96.973
YER111C	YLR467W	-	91.918
YLR403W	YCR089W	-	130.798
YNL216W	YMR027W	+	73.907
YJL127C	YPL257W-A	-	107.205
YDR392W	YKL063C	binding enriched	86.717
YPL075W	YPR074C	+	25.432
YIL131C	YOR166C	binding enriched	88.636
YDL005C	YJL126W	binding enriched	82.107
YDR207C	YIR037W	-	116.394
YDR259C	YLR096W	binding enriched	95.546
YNL216W	YHR174W	+	84.775
YJL127C	YMR244W	?	111.702
YGR252W	YPL015C	binding enriched	110.459
YLR176C	YJL004C	binding enriched	162.623
YJL056C	YGL256W	+	73.971
YIL036W	YOL016C	+	59.746
YPR086W	YKL052C	binding enriched	44.015
YHR206W	YGL062W	binding enriched	50.792
YPR086W	YKL094W	binding enriched	52.693
YDR207C	YKR009C	-	106.440
YLR403W	YOL082W	?	132.225
YCL055W	YLR303W	+	144.172
YOL148C	YER156C	+	60.776
YDR463W	YPR100W	binding enriched	86.796
YDR259C	YER048W-A	binding enriched	108.556
YDR463W	YDR026C	binding enriched	88.714
YLR098C	YGR027W-B	binding enriched	42.371
YNL216W	YJL137C	+	35.910
YCR084C	snR54	+	52.841
YDR397C	YGR211W	binding enriched	75.946
YGR104C	YDR051C	binding enriched	92.086
YDR259C	YGL093W	binding enriched	111.891
YJL127C	YJL195C	?	41.738
YOR174W	YFL057C	binding enriched	64.107
YHL020C	YBR006W	-	22.039
YIR018W	YIL144W	?	67.159
YLR071C	YHR109W	binding enriched	69.743
YNL216W	YNL068C	binding enriched	35.655
YOL148C	YLR448W	+	155.454
YHR058C	YKL195W	binding enriched	90.572
YIL101C	YNL186W	binding enriched	43.209
YDL170W	YJL158C	binding enriched	88.473
YDR259C	YDR080W	binding enriched	44.304
YOR174W	YLR204W	binding enriched	141.360
YIL101C	YGL175C	binding enriched	49.969
YDR207C	YHR079C-A	binding enriched	73.490
YGR104C	YBR173C	binding enriched	31.443
YNL199C	YLR410W-A	-	134.649
YDR463W	YBL033C	binding enriched	114.557
YDR397C	YEL017C-A	binding enriched	150.789
YPR086W	YPR040W	binding enriched	14.847
