type	id1	id2	distance
others	YKR099W	YBL005W-B	66.778
inter	YIL101C	YJR005C-A	61.250
inter	YOL148C	YJR028W	46.172
inter	YGL073W	YGR250C	47.207
inter	YDR259C	YFR023W	124.853
inter	YDL170W	YGR075C	120.784
inter	YML007W	YNL237W	98.215
others	YGL071W	YGL055W	12.574
inter	YDL170W	YBR221W-A	98.387
inter	YDL005C	YIL145C	76.446
inter	YGR252W	YAL025C	112.001
inter	YDR463W	YLR162W	118.291
inter	YIL131C	YLR247C	100.377
inter	YCR084C	YDR385W	111.000
inter	YNL216W	YMR186W	94.173
inter	YLR403W	YMR077C	150.466
others	YOR028C	YDL175C	63.458
inter	YCR084C	YJR147W	79.896
inter	YLR403W	YDR064W	159.523
others	YER040W	YKL170W	67.598
inter	YOL148C	YDL136W	71.727
inter	YDR259C	YPL098C	67.759
inter	YML007W	YBR188C	103.581
others	YOR032C	YOR160W	70.284
others	YKR099W	YCL030C	68.175
inter	YDL170W	YIL052C	118.154
inter	YDR392W	YDR173C	53.887
inter	YIR018W	YPL192C	101.754
inter	YIR018W	YHR136C	86.667
inter	YPR086W	YMR084W	10.439
inter	YOR174W	YGL010W	110.603
inter	YPL075W	YDL126C	73.175
others	YNL103W	YOR085W	50.641
others	YBR240C	YJR004C	118.668
inter	YLR403W	YLR312W-A	18.755
inter	YNL216W	YER156C	39.920
inter	YOR110W	YEL073C	104.018
others	YOR028C	YKL177W	46.791
others	YMR182C	YLR178C	119.851
others	YJR127C	YOR010C	55.530
others	YPR104C	YDL075W	30.123
others	YOR344C	YDR365W-B	76.738
others	YDR146C	YIL116W	78.736
inter	YOR110W	YDL063C	59.019
inter	YNL216W	YML128C	51.896
others	YBR083W	YLR042C	67.547
inter	YNL216W	YPR044C	76.707
inter	YPR086W	YMR175W	38.223
inter	YIL101C	YOR130C	78.751
inter	YPR086W	YNL008C	87.660
inter	YIL131C	YBR074W	44.134
others	YBR112C	YJL077C	109.350
inter	YDR463W	YNL193W	58.065
inter	YDR259C	YPL085W	72.958
others	YNL236W	YDR210W-A	75.755
inter	YNL216W	YHL015W	97.297
inter	YPR086W	YKL162C	61.512
inter	YDL005C	YGL221C	110.059
inter	YPR086W	YDL238C	56.731
inter	YLR403W	YPR112C	146.841
inter	YPL075W	YKL192C	75.253
inter	YLR403W	YEL040W	144.875
inter	YPL075W	YJR117W	82.785
inter	YLR176C	YML028W	151.579
inter	YOR110W	YOR108W	2.049
inter	YJL127C	YCR098C	107.740
inter	YIL036W	YDR098C-A	107.660
inter	YOR174W	YHR007C-A	111.646
inter	YDL005C	YNL097C	100.208
inter	YIL036W	YPL145C	84.840
others	YOL004W	YEL065W	58.450
others	YDR423C	YGL011C	123.377
inter	YOR174W	YGR267C	88.155
inter	YCR084C	YGL245W	79.339
others	YGR104C	YGR279C	38.504
inter	YDR463W	YLR095C	90.306
inter	YOR110W	YLL056C	78.505
inter	YGL073W	YOR277C	85.633
inter	YDL005C	YOL039W	48.325
others	YDL020C	YFL014W	21.337
inter	YIL101C	YMR161W	72.408
inter	YDL005C	YDR034C	47.549
others	YNL236W	YLL010C	84.579
inter	YIL131C	YPR183W	84.190
others	YNL330C	YNL298W	23.492
inter	YNL216W	YLR249W	131.887
inter	YBR049C	YGL040C	68.073
inter	YOR174W	YLR017W	98.690
others	YCR081W	YNL055C	75.413
others	YMR037C	YJL158C	105.402
inter	YGR252W	YBR273C	30.915
inter	YDR392W	YBL074C	101.164
inter	YDL005C	YJL216C	91.034
inter	YLR176C	YML116W	120.436
inter	YIL101C	YHR197W	45.813
inter	YDL005C	YLR120C	86.137
others	YDR123C	YPL041C	69.339
inter	YDR253C	YLR281C	125.562
inter	YDR463W	YLR318W	112.831
inter	YJL127C	YLR339C	140.288
inter	YOR174W	YKR088C	84.514
others	YPR104C	YAL039C	84.716
inter	YPL075W	YBR143C	56.495
inter	YDR253C	YNL014W	128.492
others	YER040W	YBR274W	90.185
inter	YDR207C	YML101C	57.982
inter	YOL148C	YMR046W-A	97.380
inter	YPL254W	YLR441C	89.127
inter	YOR174W	YNL255C	26.522
inter	YDR463W	YMR255W	60.741
others	YHR058C	YOL005C	72.849
others	YDR123C	YER021W	105.858
others	YNL103W	YDR040C	102.969
inter	YGR252W	YPR054W	93.309
inter	YNL216W	YEL073C	79.765
others	YOR344C	YMR046C	118.594
inter	YDL005C	YNR015W	36.975
inter	YCR084C	YML058W-A	51.201
inter	YGL073W	YHR216W	76.533
others	YMR042W	YCL040W	75.145
inter	YDL005C	YHL029C	36.926
inter	YDR392W	YPL232W	70.189
inter	YIL101C	YJL050W	48.468
inter	YIL131C	YKL146W	81.202
others	YNL199C	YDL021W	59.853
inter	YGR252W	YCR102C	89.077
inter	YDR392W	YDR510W	13.890
inter	YIL131C	YLR285C-A	107.110
inter	YCR084C	YHR214C-B	50.413
inter	YLR176C	YDR464W	122.999
inter	YLR403W	YDL070W	154.657
others	YLR098C	YFR015C	71.024
inter	YIL131C	YCR071C	50.872
others	YBR083W	YGR161W-A	45.460
others	YER111C	YDR046C	89.975
others	YEL009C	YAR064W	40.297
inter	YLR403W	YKL178C	160.691
inter	YGR252W	YDR037W	94.083
inter	YIL101C	YOR195W	70.439
others	YJL056C	YGL258W	73.072
inter	YIL101C	YKL222C	80.781
others	YNL103W	YNL191W	35.288
others	YNL330C	YGR279C	65.780
inter	YOR110W	YKL106W	32.928
others	YBR112C	YDR517W	99.008
inter	YGL073W	YIL053W	28.407
inter	YOL148C	YHR137W	122.367
inter	YML007W	YDL215C	95.032
others	YNL236W	YDR238C	78.008
inter	YJL127C	YBL082C	81.304
others	YBR081C	YPL026C	73.913
inter	YLR403W	YNL247W	129.069
inter	YJL127C	YGL135W	44.654
others	YNL236W	YDR331W	74.705
inter	YML007W	YOR223W	129.594
others	YGL013C	YPR158C-C	93.297
inter	YLR071C	YPL223C	87.992
others	YGR104C	YER104W	46.705
inter	YML007W	YNL084C	100.606
inter	YNL216W	YOR096W	27.260
inter	YLR176C	YJL177W	134.444
inter	YDR207C	YLR156C-A	119.666
inter	YNL216W	YCR087C-A	85.383
inter	YLR403W	YBR271W	61.260
others	YLR451W	YMR315W-A	87.378
inter	YLR176C	YNL095C	114.999
others	YPR104C	YNL036W	102.643
inter	YPL075W	YKL191W	74.923
others	YNL236W	YPL049C	106.551
inter	YPL075W	YMR243C	56.892
inter	YLR403W	YLR270W	18.272
others	YGR116W	YHR138C	49.545
others	YGL035C	RDN25-1	75.829
inter	YIL131C	YDL173W	88.684
others	YBR112C	YIL045W	69.180
inter	YBR049C	YLR229C	114.403
inter	YPL075W	YLR172C	134.482
inter	YJL127C	YOR378W	62.462
inter	YLR071C	YDR380W	119.340
inter	YGR252W	YDR490C	59.434
inter	YLR176C	YHR190W	88.062
inter	YJL127C	YOL143C	35.666
inter	YLR403W	YDR351W	114.935
inter	YDL170W	YDL019C	87.658
others	YPL139C	YML107C	20.231
inter	YIR018W	YJL218W	90.455
inter	YGR252W	YJL166W	74.510
others	YER040W	YLR185W	121.655
inter	YDR392W	YKL086W	83.771
inter	YLR403W	YCR087C-A	129.153
others	YGL013C	YPR190C	96.064
inter	YIL036W	YIL078W	34.226
inter	YIL131C	YNL074C	37.619
inter	YGR252W	YKL150W	97.974
others	YHL020C	YOR034C	63.306
inter	YIR018W	YBR076W	81.748
inter	YGR252W	YDR158W	92.240
inter	YBR049C	YMR202W	62.605
inter	YDR392W	YHL007C	145.157
inter	YLR403W	YMR049C	158.153
inter	YGR252W	YDR178W	94.201
inter	YGR252W	YEL065W	68.690
others	YOR028C	YOR210W	74.033
others	YMR037C	YNL231C	78.212
others	YEL009C	YOR062C	78.765
inter	YER159C	YGL062W	49.264
inter	YDR392W	YHR071W	97.799
others	YGR116W	YLL039C	64.351
inter	YIL131C	YBR259W	54.204
inter	YBR049C	YDL072C	74.360
others	YKL112W	YML040W	65.307
others	YNL236W	YBR066C	87.686
others	YFL031W	YLR214W	156.299
inter	YDR463W	YDL176W	41.954
others	YMR037C	YMR316W	72.872
others	YNL236W	YDR261C-C	85.739
inter	YIL131C	YAL026C	69.950
inter	YIL101C	YOR145C	79.954
inter	YJL127C	YBR191W	102.245
inter	YDR463W	YDL023C	106.571
inter	YPR086W	YGR008C	78.035
inter	YPR086W	YBL101C	88.122
inter	YDR392W	YDR249C	28.801
inter	YLR071C	YNL178W	74.372
inter	YBR049C	YJL076W	96.973
others	YER111C	YLR467W	91.918
inter	YLR403W	YCR089W	130.798
inter	YNL216W	YMR027W	73.907
inter	YJL127C	YPL257W-A	107.205
inter	YDR392W	YKL063C	86.717
inter	YPL075W	YPR074C	25.432
inter	YIL131C	YOR166C	88.636
inter	YDL005C	YJL126W	82.107
inter	YDR207C	YIR037W	116.394
inter	YDR259C	YLR096W	95.546
inter	YNL216W	YHR174W	84.775
inter	YJL127C	YMR244W	111.702
inter	YGR252W	YPL015C	110.459
inter	YLR176C	YJL004C	162.623
others	YJL056C	YGL256W	73.971
inter	YIL036W	YOL016C	59.746
inter	YPR086W	YKL052C	44.015
others	YHR206W	YGL062W	50.792
inter	YPR086W	YKL094W	52.693
inter	YDR207C	YKR009C	106.440
inter	YLR403W	YOL082W	132.225
others	YCL055W	YLR303W	144.172
inter	YOL148C	YER156C	60.776
inter	YDR463W	YPR100W	86.796
inter	YDR259C	YER048W-A	108.556
inter	YDR463W	YDR026C	88.714
others	YLR098C	YGR027W-B	42.371
inter	YNL216W	YJL137C	35.910
inter	YCR084C	snR54	52.841
others	YDR397C	YGR211W	75.946
others	YGR104C	YDR051C	92.086
inter	YDR259C	YGL093W	111.891
inter	YJL127C	YJL195C	41.738
inter	YOR174W	YFL057C	64.107
others	YHL020C	YBR006W	22.039
inter	YIR018W	YIL144W	67.159
inter	YLR071C	YHR109W	69.743
inter	YNL216W	YNL068C	35.655
inter	YOL148C	YLR448W	155.454
others	YHR058C	YKL195W	90.572
inter	YIL101C	YNL186W	43.209
inter	YDL170W	YJL158C	88.473
inter	YDR259C	YDR080W	44.304
inter	YOR174W	YLR204W	141.360
inter	YIL101C	YGL175C	49.969
inter	YDR207C	YHR079C-A	73.490
others	YGR104C	YBR173C	31.443
others	YNL199C	YLR410W-A	134.649
inter	YDR463W	YBL033C	114.557
others	YDR397C	YEL017C-A	150.789
inter	YPR086W	YPR040W	14.847
inter	YIL131C	YNR030W	64.019
inter	YIL131C	YCR060W	50.093
inter	YPL075W	YOL039W	79.520
inter	YDR207C	YBR126C	78.782
others	YJL056C	YNR071C	27.274
inter	YDR392W	YBR196C	84.041
inter	YOL148C	YIR011C	98.019
inter	YPL075W	YFL002W-B	77.545
inter	YLR403W	YLL021W	154.211
inter	YOL148C	YIL009W	97.304
inter	YLR403W	YOR162C	141.560
inter	YDR392W	YIL116W	93.359
inter	YDL005C	YIL114C	69.080
others	YBL008W	YNL160W	94.027
others	YHR058C	YGR058W	68.228
inter	YOR110W	YOR098C	3.866
inter	YNL216W	YMR096W	80.909
inter	YPL254W	YOL014W	104.620
inter	YJL127C	YDR210W-A	107.131
inter	YBR049C	YIL147C	65.250
others	YNL068C	YDR153C	104.761
inter	YIR018W	YDR293C	132.749
others	YNL103W	YJR010W	72.906
inter	YIL131C	YBL055C	35.332
inter	YGL073W	YER036C	41.184
inter	YLR403W	YDL021W	159.302
inter	YDR207C	YNL030W	126.707
inter	YDR207C	YPR158W	37.576
inter	YJL127C	YDR447C	92.588
inter	YBR049C	YLR114C	54.905
others	YLR418C	YNR074C	148.659
inter	YGR252W	YPR133W-A	103.290
inter	YML007W	YER069W	98.187
inter	YOR174W	YOR009W	99.574
inter	YGL073W	YOR293W	86.091
inter	YNL216W	YGR254W	72.650
inter	YGL073W	YMR145C	101.718
inter	YBR049C	YCR034W	21.501
inter	YJL127C	YOR323C	71.451
inter	YML007W	YML026C	23.302
others	YMR037C	YDR487C	86.157
inter	YIL101C	YPL248C	66.634
inter	YOR110W	YER180C-A	76.028
inter	YML007W	YGR209C	104.876
inter	YGR252W	YGR244C	13.155
inter	YDR392W	YKR013W	120.740
others	YKL112W	YOR230W	65.293
others	YPR065W	YMR319C	71.972
inter	YLR403W	YMR186W	116.426
inter	YIL036W	YLR179C	123.819
others	YLR098C	YDR316W-B	102.551
inter	YML007W	YLL049W	51.917
inter	YPR086W	YDR330W	66.595
inter	YDR259C	YMR305C	42.807
others	YHR058C	YNL300W	115.499
inter	YNL216W	YLR379W	136.026
inter	YCR084C	YML040W	42.198
others	YNL103W	YHR183W	84.341
inter	YBR049C	YIL162W	72.114
others	YNL330C	YPR102C	101.761
inter	YBR049C	YDL039C	66.326
inter	YOR174W	YAL044W-A	94.847
inter	YLR403W	YPL260W	102.850
inter	YLR176C	YDR347W	123.911
inter	YGL073W	YMR108W	103.520
others	YOL108C	YNL156C	29.459
others	YNL236W	YAL038W	70.830
inter	YLR403W	YER173W	97.978
others	YPR052C	YER104W	69.824
inter	YJL127C	YOL119C	46.270
others	YDR423C	YBR157C	65.714
inter	YIL101C	YPL056C	73.246
inter	YOR174W	YDL038C	72.858
inter	YLR176C	YNL274C	111.925
inter	YGR252W	YGL246C	18.521
inter	YIR018W	YGL094C	78.567
others	YNL103W	YAR035W	99.797
inter	YBR049C	YBL105C	42.193
inter	YLR403W	YCR097W-A	133.441
inter	YIL131C	YAR023C	87.260
inter	YPL075W	YLR441C	132.230
others	YHR041C	YIL051C	56.062
others	YHL027W	YMR319C	98.570
others	YEL009C	YML012C-A	46.171
inter	YLR176C	YMR298W	97.674
inter	YDR463W	YMR018W	105.083
inter	YPL254W	YJL158C	110.139
inter	YER159C	YDL046W	84.724
inter	YIL101C	YLL018C	45.976
inter	YIL101C	YAL065C	70.313
others	YJL056C	YBR048W	104.034
inter	YIL036W	YNL284C-A	100.512
inter	YNL216W	YCL009C	106.604
inter	YOR110W	YDL202W	37.273
others	YPL177C	YLR214W	99.490
others	YPR104C	YBL027W	68.286
inter	YOR110W	YGL172W	82.910
others	YMR042W	YOR150W	86.047
inter	YOL148C	YAL003W	101.011
inter	YNL216W	YBR196C	91.878
others	YPR133C	YKR031C	51.995
inter	YPL075W	YEL037C	95.637
others	YEL009C	YOR383C	113.936
others	YBR083W	YAL007C	90.932
others	YDR423C	YBL061C	101.374
inter	YJL127C	YLR326W	140.243
inter	YPL075W	YDR388W	96.015
others	YEL009C	YLR080W	62.910
inter	YLR176C	YLL052C	123.306
inter	YER159C	YLR304C	98.420
inter	YDR463W	YDL184C	38.010
inter	YLR403W	YMR194W	116.494
inter	YGL073W	YMR120C	97.623
inter	YDL170W	YPL009C	98.808
inter	YPL075W	YBR196C-A	65.821
inter	YPL075W	YML024W	43.556
inter	YDR207C	YKL163W	66.703
others	YNL330C	YPL016W	123.737
others	YDL020C	YNL146W	86.050
inter	YGL073W	YFL026W	83.454
inter	YIL131C	YKL032C	85.182
others	YEL009C	YGL152C	96.654
inter	YDR207C	YHL030W	102.304
inter	YLR403W	YOR320C	106.287
inter	YGL073W	YML100W	75.743
others	YER040W	YCR069W	65.590
others	YEL009C	YML066C	83.959
inter	YIL131C	YHR086W-A	63.546
inter	YCR084C	YGL234W	91.161
others	YER111C	YBL111C	46.282
inter	YML007W	YMR183C	90.881
others	YHL020C	YDR497C	107.534
others	YBR083W	YJR028W	91.630
inter	YLR403W	YGL028C	133.253
inter	YIL036W	YOR204W	111.227
others	YOR038C	YBR045C	86.310
inter	YPR086W	YMR303C	58.118
inter	YCR084C	YHL050C	35.857
inter	YOR174W	YDR518W	34.135
inter	YGL073W	YNL036W	64.721
others	YNL068C	YJR045C	44.600
others	YNL236W	YDR292C	77.001
inter	YIL131C	YBR242W	56.475
inter	YOR110W	YGR132C	85.756
inter	YJL127C	YNL030W	46.499
others	YMR037C	YOR068C	62.691
others	YBR112C	YOL032W	104.428
inter	YML007W	YGR130C	92.281
inter	YPL075W	YOR280C	112.430
others	YNL103W	YHR071W	94.678
inter	YLR403W	YGR087C	91.366
inter	YJL127C	YCR083W	82.130
inter	YDR392W	YCL025C	136.098
others	YBR081C	YNL098C	84.829
inter	YDR392W	YMR240C	61.109
inter	YML007W	YLR154C	114.880
inter	YOR110W	YHR214C-C	139.232
inter	YGL073W	YLR413W	102.366
inter	YOR174W	YER083C	63.345
inter	YDL170W	YMR164C	71.082
inter	YLR403W	YAL034C	183.425
inter	YPR086W	YOR292C	100.767
inter	YIL101C	YGL241W	56.880
inter	YLR403W	YLR186W	30.820
inter	YLR403W	YGL225W	70.043
inter	YIL101C	YPL140C	47.086
inter	YOR110W	YGL032C	86.601
inter	YCR084C	YFL026W	49.016
others	YER111C	YFR015C	86.894
others	YEL009C	YPL111W	111.633
inter	YLR403W	YNL149C	124.017
inter	YIL101C	YLR081W	33.753
others	YER040W	YOR285W	75.065
inter	YDR463W	YGR235C	67.657
inter	YDR463W	YOR034C	88.987
inter	YDR463W	YFR030W	126.998
inter	YPL075W	YGR038W	79.914
inter	YDR392W	YLR256W-A	126.595
inter	YOR174W	YDR529C	27.327
inter	YIL036W	YLL045C	25.014
inter	YIL101C	YGL023C	26.319
inter	YDR207C	YJR006W	119.321
inter	YBR049C	YJL144W	101.091
others	YOR363C	YDL136W	67.310
others	YJR127C	YLL009C	60.919
inter	YIL131C	YIL090W	20.366
inter	YLR403W	YJL148W	123.176
inter	YPR086W	YJR059W	84.971
others	YEL009C	Q0297	nan
inter	YLR403W	YGL076C	98.279
others	YDL106C	YPL019C	69.166
inter	YDL005C	YBR047W	70.470
others	YLR451W	YBR205W	73.152
inter	YLR071C	YNR001C	69.824
inter	YOR174W	YER041W	79.862
inter	YGR252W	YGL113W	42.868
inter	YLR176C	YLR002C	160.002
inter	YDR463W	YKL023W	119.474
inter	YDL005C	YOR196C	107.627
inter	YDR259C	YCL001W-B	140.509
others	YJL056C	YKL175W	62.847
inter	YJL127C	YLR148W	77.802
inter	YIL036W	YLR142W	61.190
inter	YIL101C	YNL162W	48.148
inter	YPL075W	YER041W	88.971
others	YLR223C	YEL054C	126.140
inter	YLR403W	YIR009W	174.271
others	YOL004W	YPR069C	63.505
inter	YDR392W	YDR210W	33.601
inter	YOR110W	YHR051W	109.917
others	YMR037C	YBR024W	54.834
inter	YML007W	YBL032W	46.142
inter	YDR259C	YIL121W	89.142
inter	YDR392W	YBR244W	95.346
inter	YJL127C	YMR006C	76.693
inter	YIL036W	YOR215C	116.047
inter	YDL170W	YBR039W	112.939
inter	YJL127C	YLR167W	120.134
inter	YOR174W	YJR017C	92.446
inter	YOR110W	YKL209C	28.715
inter	YLR071C	YJR117W	65.450
inter	YER159C	YJR006W	95.455
inter	YGL073W	YIL140W	17.969
inter	YIL101C	YOR243C	72.920
others	YNL103W	YLR327C	131.181
inter	YCR084C	YGR090W	47.004
inter	YOL148C	YHR071W	107.703
inter	YDL170W	YJR008W	96.190
inter	YLR403W	YLR466W	8.549
inter	YLR176C	YPL204W	114.440
others	YMR223W	YBR085C-A	55.009
others	YNL068C	YPL026C	93.921
others	YMR070W	YGL032C	87.302
inter	YGR252W	YEL011W	109.926
inter	YIL131C	YLR222C	101.803
inter	YML007W	YLR042C	78.667
inter	YDL005C	YDR260C	119.334
others	YNL103W	YLR235C	124.024
inter	YDR259C	YOR124C	66.539
inter	YIL101C	YDR011W	45.864
others	YNL236W	YJL111W	28.469
others	YJR060W	YMR250W	109.873
inter	YIL131C	YBR216C	54.716
others	YHL020C	YNL256W	114.650
inter	YIL101C	YOL166W-A	55.787
others	YJR127C	YDR084C	49.163
inter	YIL101C	YBL015W	39.381
inter	YDR259C	YDR051C	66.102
inter	YGR252W	YOR186W	80.890
inter	YOR174W	YDL039C	72.858
others	YOL004W	YER044C	58.061
inter	YIL131C	YGR035W-A	39.236
inter	YER159C	YNL241C	44.377
inter	YIL101C	YJL158C	54.653
inter	YDR259C	YCR043C	101.045
inter	YDR207C	YIL114C	93.140
inter	YDR463W	YML129C	68.601
inter	YDR253C	YML091C	66.707
others	YEL009C	YMR195W	121.739
inter	YJL127C	snR190	17.898
others	YER111C	YEL017C-A	80.627
inter	YLR403W	YGR158C	68.671
inter	YIR018W	YNR020C	36.292
inter	YBR049C	YLR308W	110.105
inter	YLR403W	YKL205W	137.336
inter	YDR463W	YBR143C	83.436
inter	YIL036W	YKR059W	95.701
others	YOL004W	YJL088W	65.158
inter	YLR176C	YPR081C	148.842
inter	YML007W	YFR040W	33.975
others	YNL103W	YGL125W	39.672
inter	YGL073W	YBR286W	68.855
inter	YOR174W	YIR011C	121.053
inter	YGR252W	YKR072C	116.717
others	YDL020C	YNL160W	80.309
inter	YIL101C	YOR327C	83.955
inter	YDR463W	YHL047C	121.086
inter	YJL127C	YEL054C	46.253
inter	YNL216W	YGR253C	71.209
inter	YBR049C	YNL221C	88.626
inter	YLR176C	YIR038C	144.237
outhub	YIL131C	YDR392W	98.032
inter	YDR392W	YCR102C	129.663
inter	YOR174W	YGL153W	80.413
inter	YPR086W	YPL004C	66.981
inter	YOR110W	YCL027W	100.414
inter	YDR259C	YIL148W	105.017
inter	YDR259C	YDR351W	17.236
inter	YOR174W	YLR099W-A	87.590
others	YKR099W	YGR027W-A	89.463
inter	YOR110W	YJL065C	52.986
inter	YER159C	YJR096W	53.614
inter	YIL131C	YNL185C	48.694
inter	YNL216W	YJL012C	75.515
inter	YGR252W	YDL157C	94.842
others	YBR081C	YLR327C	93.644
inter	YPL075W	YDR353W	91.738
inter	YDL170W	YDR182W-A	49.505
inter	YBR049C	YBR249C	50.751
others	YDR397C	YJR006W	134.402
inter	YDR259C	YBL104C	120.308
others	YGR116W	YBR249C	25.388
inter	YML007W	YHR042W	41.337
inter	YOR174W	YOL043C	66.875
inter	YPL254W	YMR038C	69.812
inter	YIL131C	YBR132C	66.719
inter	YIL131C	YLR043C	30.996
inter	YGR252W	YDR054C	100.695
inter	YIL101C	YGR008C	48.369
inter	YPL254W	YMR045C	63.743
inter	YIR018W	YML131W	73.988
others	YDR169C	YCL027W	109.078
inter	YLR403W	YMR119W-A	134.224
others	YLR451W	YHR208W	101.196
others	YHR084W	YGL147C	88.861
others	YDR423C	YNR009W	131.571
others	YJR140C	YGR108W	78.838
inter	YGR252W	YBR137W	52.213
inter	YLR403W	YPL221W	94.353
inter	YIL101C	YKL058W	57.314
