id1	id2	hier1	hier2	distance
YGR252W	YDL080C	Middle	Target	92.557
YIL101C	YKR058W	Middle	Target	78.026
YPR133C	YDR155C	Middle	Target	36.506
YNL236W	YOR321W	Middle	Target	45.978
YML007W	YIR017C	Middle	Target	28.074
YGL073W	YIL117C	Middle	Target	23.345
YOR110W	YFR049W	Middle	Target	67.525
YNL257C	YCR021C	Bottom	Target	109.642
YCR084C	YPL231W	Middle	Target	70.476
YBR081C	YPR154W	Top	Target	81.447
YOR344C	YIL082W	Bottom	Target	91.170
YNL216W	YCL040W	Middle	Target	97.617
YBR240C	YOL078W	Bottom	Target	95.399
YGL073W	YGR155W	Middle	Target	44.505
YPR086W	YOL155C	Middle	Target	104.052
YIR018W	YOR178C	Middle	Target	113.076
YER159C	YMR090W	Middle	Target	86.401
YLR403W	YOR071C	Middle	Target	161.093
YER111C	YNL320W	Middle	Target	71.138
YDR169C	YNL242W	Bottom	Target	89.848
YDL005C	YNR037C	Middle	Target	58.831
YLR403W	YCR072C	Middle	Target	125.423
YOR110W	YJL143W	Middle	Target	67.796
YML007W	YLR097C	Middle	Target	70.346
YDR423C	YML052W	Middle	Target	102.432
YLR403W	YDL052C	Middle	Target	156.783
YNL236W	YKL080W	Middle	Target	47.045
YCR084C	YGR161C	Middle	Target	60.395
YDL005C	YOR394C-A	Middle	Target	132.743
YKR099W	YBL005W-B	Top	Target	66.778
YIL101C	YJR005C-A	Middle	Target	61.250
YOL148C	YJR028W	Middle	Target	46.172
YGL073W	YGR250C	Middle	Target	47.207
YDR259C	YFR023W	Middle	Target	124.853
YDL170W	YGR075C	Middle	Target	120.784
YML007W	YNL237W	Middle	Target	98.215
YGL071W	YGL055W	Middle	Target	12.574
YDL170W	YBR221W-A	Middle	Target	98.387
YDL005C	YIL145C	Middle	Target	76.446
YGR252W	YAL025C	Middle	Target	112.001
YDR463W	YLR162W	Middle	Target	118.291
YIL131C	YLR247C	Top	Target	100.377
YCR084C	YDR385W	Middle	Target	111.000
YNL216W	YMR186W	Middle	Target	94.173
YLR403W	YMR077C	Middle	Target	150.466
YOR028C	YDL175C	Middle	Target	63.458
YCR084C	YJR147W	Middle	Target	79.896
YLR403W	YDR064W	Middle	Target	159.523
YER040W	YKL170W	Middle	Target	67.598
YOL148C	YDL136W	Middle	Target	71.727
YDR259C	YPL098C	Middle	Target	67.759
YML007W	YBR188C	Middle	Target	103.581
YOR032C	YOR160W	Bottom	Target	70.284
YKR099W	YCL030C	Top	Target	68.175
YDL170W	YIL052C	Middle	Target	118.154
YDR392W	YDR173C	Middle	Target	53.887
YIR018W	YPL192C	Middle	Target	101.754
YIR018W	YHR136C	Middle	Target	86.667
YPR086W	YMR084W	Middle	Target	10.439
YOR174W	YGL010W	Middle	Target	110.603
YPL075W	YDL126C	Middle	Target	73.175
YNL103W	YOR085W	Middle	Target	50.641
YBR240C	YJR004C	Bottom	Target	118.668
YLR403W	YLR312W-A	Middle	Target	18.755
YNL216W	YER156C	Middle	Target	39.920
YOR110W	YEL073C	Middle	Target	104.018
YOR028C	YKL177W	Middle	Target	46.791
YMR182C	YLR178C	Bottom	Target	119.851
YJR127C	YOR010C	Middle	Target	55.530
YPR104C	YDL075W	Middle	Target	30.123
YOR344C	YDR365W-B	Bottom	Target	76.738
YDR146C	YIL116W	Middle	Target	78.736
YOR110W	YDL063C	Middle	Target	59.019
YNL216W	YML128C	Middle	Target	51.896
YBR083W	YLR042C	Middle	Target	67.547
YNL216W	YPR044C	Middle	Target	76.707
YPR086W	YMR175W	Middle	Target	38.223
YIL101C	YOR130C	Middle	Target	78.751
YPR086W	YNL008C	Middle	Target	87.660
YIL131C	YBR074W	Top	Target	44.134
YBR112C	YJL077C	Middle	Target	109.350
YDR463W	YNL193W	Middle	Target	58.065
YDR259C	YPL085W	Middle	Target	72.958
YNL236W	YDR210W-A	Middle	Target	75.755
YNL216W	YHL015W	Middle	Target	97.297
YPR086W	YKL162C	Middle	Target	61.512
YDL005C	YGL221C	Middle	Target	110.059
YPR086W	YDL238C	Middle	Target	56.731
YLR403W	YPR112C	Middle	Target	146.841
YPL075W	YKL192C	Middle	Target	75.253
YLR403W	YEL040W	Middle	Target	144.875
YPL075W	YJR117W	Middle	Target	82.785
YLR176C	YML028W	Middle	Target	151.579
YOR110W	YOR108W	Middle	Target	2.049
YJL127C	YCR098C	Middle	Target	107.740
YIL036W	YDR098C-A	Middle	Target	107.660
YOR174W	YHR007C-A	Middle	Target	111.646
YDL005C	YNL097C	Middle	Target	100.208
YIL036W	YPL145C	Middle	Target	84.840
YOL004W	YEL065W	Middle	Target	58.450
YDR423C	YGL011C	Middle	Target	123.377
YOR174W	YGR267C	Middle	Target	88.155
YCR084C	YGL245W	Middle	Target	79.339
YGR104C	YGR279C	Middle	Target	38.504
YDR463W	YLR095C	Middle	Target	90.306
YOR110W	YLL056C	Middle	Target	78.505
YGL073W	YOR277C	Middle	Target	85.633
YDL005C	YOL039W	Middle	Target	48.325
YDL020C	YFL014W	Bottom	Target	21.337
YIL101C	YMR161W	Middle	Target	72.408
YDL005C	YDR034C	Middle	Target	47.549
YNL236W	YLL010C	Middle	Target	84.579
YIL131C	YPR183W	Top	Target	84.190
YNL330C	YNL298W	Middle	Target	23.492
YNL216W	YLR249W	Middle	Target	131.887
YBR049C	YGL040C	Middle	Target	68.073
YOR174W	YLR017W	Middle	Target	98.690
YCR081W	YNL055C	Bottom	Target	75.413
YMR037C	YJL158C	Middle	Target	105.402
YGR252W	YBR273C	Middle	Target	30.915
YDR392W	YBL074C	Middle	Target	101.164
YDL005C	YJL216C	Middle	Target	91.034
YLR176C	YML116W	Middle	Target	120.436
YIL101C	YHR197W	Middle	Target	45.813
YDL005C	YLR120C	Middle	Target	86.137
YDR123C	YPL041C	Middle	Target	69.339
YDR253C	YLR281C	Middle	Target	125.562
YDR463W	YLR318W	Middle	Target	112.831
YJL127C	YLR339C	Middle	Target	140.288
YOR174W	YKR088C	Middle	Target	84.514
YPR104C	YAL039C	Middle	Target	84.716
YPL075W	YBR143C	Middle	Target	56.495
YDR253C	YNL014W	Middle	Target	128.492
YER040W	YBR274W	Middle	Target	90.185
YDR207C	YML101C	Middle	Target	57.982
YOL148C	YMR046W-A	Middle	Target	97.380
YPL254W	YLR441C	Middle	Target	89.127
YOR174W	YNL255C	Middle	Target	26.522
YDR463W	YMR255W	Middle	Target	60.741
YHR058C	YOL005C	Top	Target	72.849
YDR123C	YER021W	Middle	Target	105.858
YNL103W	YDR040C	Middle	Target	102.969
YGR252W	YPR054W	Middle	Target	93.309
YNL216W	YEL073C	Middle	Target	79.765
YOR344C	YMR046C	Bottom	Target	118.594
YDL005C	YNR015W	Middle	Target	36.975
YCR084C	YML058W-A	Middle	Target	51.201
YGL073W	YHR216W	Middle	Target	76.533
YMR042W	YCL040W	Bottom	Target	75.145
YDL005C	YHL029C	Middle	Target	36.926
YDR392W	YPL232W	Middle	Target	70.189
YIL101C	YJL050W	Middle	Target	48.468
YIL131C	YKL146W	Top	Target	81.202
YNL199C	YDL021W	Middle	Target	59.853
YGR252W	YCR102C	Middle	Target	89.077
YDR392W	YDR510W	Middle	Target	13.890
YIL131C	YLR285C-A	Top	Target	107.110
YCR084C	YHR214C-B	Middle	Target	50.413
YLR176C	YDR464W	Middle	Target	122.999
YLR403W	YDL070W	Middle	Target	154.657
YLR098C	YFR015C	Middle	Target	71.024
YIL131C	YCR071C	Top	Target	50.872
YBR083W	YGR161W-A	Middle	Target	45.460
YER111C	YDR046C	Middle	Target	89.975
YEL009C	YAR064W	Middle	Target	40.297
YLR403W	YKL178C	Middle	Target	160.691
YGR252W	YDR037W	Middle	Target	94.083
YIL101C	YOR195W	Middle	Target	70.439
YJL056C	YGL258W	Middle	Target	73.072
YIL101C	YKL222C	Middle	Target	80.781
YNL103W	YNL191W	Middle	Target	35.288
YNL330C	YGR279C	Middle	Target	65.780
YOR110W	YKL106W	Middle	Target	32.928
YBR112C	YDR517W	Middle	Target	99.008
YGL073W	YIL053W	Middle	Target	28.407
YOL148C	YHR137W	Middle	Target	122.367
YML007W	YDL215C	Middle	Target	95.032
